"","Name","Type1","Type2","Region","Legendary","Mythical","Baby","Fossil","Mega","Gmax","Mono-type","Dual-type","Sprite"
"1","bulbasaur","grass","poison","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png"
"2","ivysaur","grass","poison","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png"
"3","venusaur","grass","poison","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png"
"4","charmander","fire",NA,"kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png"
"5","charmeleon","fire",NA,"kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png"
"6","charizard","fire","flying","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png"
"7","squirtle","water",NA,"kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png"
"8","wartortle","water",NA,"kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png"
"9","blastoise","water",NA,"kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png"
"10","caterpie","bug",NA,"kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png"
"11","metapod","bug",NA,"kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png"
"12","butterfree","bug","flying","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png"
"13","weedle","bug","poison","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png"
"14","kakuna","bug","poison","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png"
"15","beedrill","bug","poison","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png"
"16","pidgey","normal","flying","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png"
"17","pidgeotto","normal","flying","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png"
"18","pidgeot","normal","flying","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png"
"19","rattata","normal",NA,"kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png"
"20","raticate","normal",NA,"kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png"
"21","spearow","normal","flying","kanto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png"
