Name,Type1,Type2,Region,Legendary,Mythical,Baby,Fossil,Mega,Gmax,Mono_type,Dual_type,Sprite
bulbasaur,grass,poison,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
ivysaur,grass,poison,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
venusaur,grass,poison,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
charmander,fire,NA,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
charmeleon,fire,NA,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
charizard,fire,flying,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
squirtle,water,NA,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
wartortle,water,NA,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
blastoise,water,NA,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
caterpie,bug,NA,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
metapod,bug,NA,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
butterfree,bug,flying,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
weedle,bug,poison,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
kakuna,bug,poison,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
beedrill,bug,poison,kanto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
